station dans rayon,station atteintes
436,None
437,437
438,438
439,439
444,444
445,445
442,442
443,443
447,447
446,446
448,448
22,22
177,None
851,None
852,852
570,570
571,571
572,572
573,573
574,574
2243,2243
2245,2245
2494,2494
1243,1243
1244,1244
2249,2249
2501,2501
2248,2248
2503,2503
2250,2250
2505,2505
2252,2252
2509,2509
578,None
579,579
183,183
87,87
580,None
31,31
2260,None
2282,2282
609,None
610,610
612,612
611,611
613,None
614,614
617,None
616,616
619,None
618,618
2284,None
2640,2640
2459,None
849,849
45,None
653,None
654,654
656,None
657,657
660,660
659,659
178,178
95,95
227,227
194,194
278,278
261,261
379,379
350,350
221,221
202,202
228,228
193,193
204,204
219,219
270,270
688,688
687,None
2611,2611
2612,2612
205,205
218,218
222,222
201,201
276,276
263,263
198,198
224,224
380,380
349,349
1258,1258
1259,1259
359,359
370,370
216,216
207,207
215,215
208,208
355,355
374,374
226,226
195,195
251,251
1260,1260
277,277
262,262
675,675
676,676
256,None
229,229
356,356
373,373
684,684
685,685
354,354
375,375
2566,None
2565,2565
214,214
209,209
252,252
233,233
271,271
275,275
264,264
371,371
254,254
357,357
372,372
272,None
267,267
686,686
225,225
197,197
213,None
210,210
200,200
2564,2564
206,206
217,217
212,212
211,211
681,681
682,None
203,203
220,220
266,266
273,None
381,381
348,348
265,265
274,None
296,296
334,334
382,382
269,269
1250,1250
1251,1251
52,52
53,53
2616,2616
2618,2618
2623,None
2620,2620
2624,None
2625,None
2626,None
2627,None
2628,None
2631,2631
2629,None
2630,None
1247,1247
2658,2658
2657,2657
1246,None
268,268
55,55
674,None
231,231
255,None
689,689
196,196
2383,None
2311,2311
2385,2385
2312,2312
2402,2402
2321,None
2313,None
2387,2387
2322,2322
2405,None
2407,2407
2316,2316
2409,2409
2394,2394
2317,None
2318,None
703,703
2650,2650
576,None
577,577
2331,2331
2490,None
708,708
709,709
714,714
715,None
726,726
727,727
64,64
2558,2558
65,65
186,186
92,92
187,187
136,136
2348,2348
2341,2341
2424,None
2343,2343
2342,2342
2486,None
2345,2345
2488,None
2430,2430
2347,2347
2340,None
2439,2439
2336,2336
2433,None
2338,2338
2446,2446
2339,2339
2463,2463
746,746
747,747
758,None
757,757
764,764
765,765
762,None
763,763
285,None
345,345
184,184
113,None
180,180
68,None
282,282
800,800
801,None
816,None
817,817
802,None
803,803
818,818
819,819
804,804
805,805
820,820
821,821
281,281
258,258
822,None
823,823
806,None
807,807
2614,2614
2615,2615
809,809
810,810
260,260
279,279
812,None
811,811
75,75
182,182
179,179
76,None
2606,2606
257,257
181,181
78,78
109,109
813,813
104,104
662,662
661,661
369,369
361,361
834,834
833,None
