station dans rayon,station atteintes
399,None
400,400
2637,2637
2638,None
2643,None
2644,None
412,None
411,411
413,413
414,414
415,None
416,None
2608,None
2609,None
405,405
406,406
1267,1267
1266,1266
159,159
18,18
734,734
733,733
739,739
740,740
728,728
729,729
738,738
737,737
730,730
731,731
736,736
735,735
435,435
434,434
436,None
437,437
438,438
439,439
440,440
441,441
444,444
445,445
442,442
443,443
447,447
446,446
448,448
22,22
177,None
172,172
105,105
452,452
454,454
455,455
456,None
457,457
465,465
464,464
458,None
459,459
461,None
460,460
463,463
462,462
171,171
23,None
451,451
24,24
169,169
578,None
579,579
183,183
87,87
580,None
31,31
526,526
527,527
529,529
530,530
532,532
531,531
161,161
97,97
534,534
35,35
163,163
165,165
2260,None
613,None
614,614
2459,None
653,None
654,654
656,None
657,657
660,660
659,659
178,178
95,95
278,278
261,261
359,359
370,370
277,277
262,262
356,356
373,373
371,371
357,357
372,None
686,686
2402,2402
2321,None
2313,None
2387,2387
2407,2407
2318,None
702,702
701,None
2328,None
2604,2604
2605,2605
703,703
704,None
2601,2601
2602,2602
2649,2649
2580,None
2581,2581
2650,2650
2583,None
2584,2584
2586,2586
2588,2588
2589,2589
2663,2663
2664,2664
576,None
577,577
2591,2591
716,None
717,717
2593,2593
2595,2595
2596,2596
2598,2598
2599,2599
2327,None
708,708
711,711
709,709
2578,2578
712,712
714,714
715,None
185,185
63,63
772,772
773,773
779,779
778,778
791,791
790,790
771,771
106,106
792,792
86,86
784,784
69,69
71,71
170,170
800,800
801,None
816,None
817,817
802,None
803,803
818,818
819,819
804,804
805,805
820,820
821,821
281,281
258,258
822,None
823,823
806,None
807,807
2614,2614
2615,2615
809,809
810,810
260,260
279,279
812,None
811,811
75,75
182,182
179,179
76,None
2606,2606
257,257
181,181
78,78
109,109
813,813
104,104
662,662
661,661
369,369
361,361
834,834
833,None
793,793
173,173
