station dans rayon,station atteintes
2637,None
2638,None
2643,None
2644,None
407,None
408,None
410,None
409,None
412,None
411,None
413,413
414,414
415,None
416,None
2608,None
2609,None
155,None
17,None
403,403
404,404
405,405
406,406
1267,1267
1266,1266
159,None
18,None
734,None
733,None
739,None
740,None
728,None
729,None
738,None
737,None
730,None
731,None
736,None
735,None
435,None
434,None
436,None
437,None
438,None
439,None
440,None
441,None
444,None
445,None
442,None
443,None
447,None
446,None
448,None
22,None
177,None
172,None
105,None
452,None
454,None
455,None
456,None
457,None
465,None
464,None
458,None
459,None
461,None
460,None
463,None
462,None
171,None
23,None
451,None
24,None
169,None
183,None
87,None
580,None
31,None
526,None
527,None
529,529
530,None
532,None
531,None
161,None
97,None
534,534
35,None
163,163
165,None
607,None
589,None
588,None
600,None
601,None
584,None
583,None
602,None
603,None
586,None
585,None
1237,None
595,None
594,None
597,None
596,None
582,None
581,None
591,None
590,None
592,None
593,None
151,None
156,None
154,None
42,None
130,None
153,None
598,None
599,None
653,None
654,None
656,None
657,None
660,None
659,None
178,None
95,None
568,568
779,None
778,None
771,None
106,None
818,None
819,None
806,None
807,None
109,None
662,None
661,None
567,567
566,None
560,560
559,559
565,565
564,564
563,563
562,562
2660,None
2661,None
558,None
157,None
139,139
158,158
