station dans rayon,station atteintes
399,None
400,400
2637,2637
2638,None
2643,2643
2644,None
407,407
408,408
410,None
409,409
412,None
411,411
413,413
414,414
415,415
416,None
2608,None
2609,2609
403,403
404,404
405,405
406,406
1267,1267
1266,1266
159,159
18,18
728,728
729,729
435,435
434,434
436,None
437,437
438,438
439,439
440,440
441,441
444,444
445,445
442,442
443,443
447,447
446,446
448,448
22,22
177,None
172,172
105,105
452,452
454,454
455,455
456,None
457,457
465,465
464,464
458,None
459,459
461,None
460,460
463,463
462,462
171,171
23,None
451,451
24,24
169,169
526,526
527,527
529,529
530,530
532,532
531,531
161,161
97,97
534,534
35,35
163,163
165,165
589,589
588,588
600,600
601,None
584,584
583,583
602,602
603,603
586,586
585,585
1237,1237
595,595
594,594
597,597
596,596
582,582
581,581
591,591
590,590
592,592
593,593
151,151
156,156
154,154
42,42
130,130
153,153
598,598
599,599
613,None
614,614
2459,None
653,None
654,654
656,None
657,657
660,660
659,659
178,178
95,95
787,787
786,786
788,788
227,227
194,194
235,235
278,278
261,261
352,352
294,294
336,336
379,379
350,350
221,221
202,202
228,228
193,193
303,303
328,328
204,204
219,219
270,270
333,333
298,298
377,377
249,249
236,236
304,304
327,327
688,688
687,None
2611,2611
2612,2612
205,205
218,218
222,222
201,201
276,276
263,263
247,247
238,238
198,198
224,224
299,299
332,332
380,380
349,349
1258,1258
1259,1259
242,None
243,243
359,359
370,370
216,216
207,207
215,215
208,208
355,355
374,374
226,226
195,195
251,251
234,234
690,690
691,691
1260,1260
1261,1261
241,None
244,244
277,277
262,262
675,675
676,676
256,None
229,229
245,245
240,240
356,356
373,373
684,684
685,685
354,354
375,375
2566,None
2565,2565
214,214
209,209
250,250
297,297
252,252
233,233
271,271
353,353
376,376
351,351
378,378
275,275
264,264
371,371
254,254
357,357
372,372
272,None
267,267
686,686
225,225
197,197
302,302
329,329
213,None
210,210
200,200
2564,2564
206,206
217,217
212,212
211,211
295,295
335,335
681,681
682,None
203,203
220,220
266,266
273,None
301,301
330,330
381,381
348,348
300,300
331,331
265,265
274,None
296,296
334,334
382,382
269,269
1250,1250
1251,1251
52,52
53,53
54,54
2616,2616
2618,2618
2623,None
2620,2620
2624,None
2625,None
2626,None
2627,None
2628,None
2631,2631
2629,None
2630,None
1247,1247
2658,2658
2657,2657
1246,None
268,268
55,55
674,None
231,231
255,None
176,176
56,56
689,689
196,196
293,293
337,337
313,313
318,318
772,772
773,773
769,769
768,768
312,312
319,319
781,781
780,780
774,774
775,775
779,779
778,778
776,776
777,777
315,315
316,316
791,791
790,790
770,770
96,96
771,771
106,106
792,792
86,86
784,784
69,69
71,71
170,170
795,795
72,72
167,167
147,147
166,166
89,89
800,800
801,None
816,None
817,817
802,None
803,803
818,818
819,819
804,804
805,805
820,820
821,821
281,281
258,258
822,None
823,823
806,None
807,807
2614,2614
2615,2615
809,809
810,810
260,260
279,279
812,None
811,811
75,75
182,182
179,179
76,None
2606,2606
257,257
181,181
78,78
109,109
813,813
104,104
662,662
661,661
369,369
361,361
840,840
841,841
307,307
324,324
310,310
321,321
311,311
320,320
306,306
325,325
834,834
833,None
835,835
836,836
366,366
364,364
305,305
326,326
837,837
838,838
363,363
367,367
842,842
843,843
847,847
846,846
845,845
844,844
309,309
322,322
793,793
173,173
365,365
174,174
103,103
175,175
124,124
1254,1254
