station dans rayon,station atteintes
399,None
400,None
2643,None
2644,None
413,413
414,414
415,None
416,None
2608,None
2609,None
1267,1267
1266,1266
436,None
437,None
438,None
439,None
444,None
445,None
172,None
105,None
452,452
454,454
455,None
456,None
457,457
465,None
464,464
458,None
459,None
461,None
460,460
463,None
462,462
171,171
23,None
451,None
24,24
169,None
578,None
579,None
183,None
87,None
580,None
31,None
526,None
527,527
529,529
530,530
534,534
35,None
163,163
165,165
2260,None
607,None
653,None
654,None
656,None
657,None
660,None
659,None
178,None
95,None
818,None
819,None
662,None
661,None
