station dans rayon,station atteintes
851,None
852,None
570,None
2245,None
2494,None
1243,None
1244,None
2249,None
2501,None
2248,None
2503,None
2250,None
2505,None
2252,None
2509,None
2560,None
2561,None
578,None
579,None
183,None
87,None
580,None
31,None
2260,None
829,None
830,None
539,None
37,None
538,None
546,None
545,None
2282,None
609,None
610,None
612,None
611,None
613,None
614,None
617,None
616,None
619,None
618,None
2284,None
2640,None
2459,None
849,None
45,None
653,None
654,None
270,None
256,None
229,None
2566,None
2565,None
271,None
272,None
267,None
2564,None
681,None
682,None
382,None
269,None
1250,None
1251,None
268,None
689,None
2383,None
2311,None
2385,None
2312,None
2402,None
2321,None
2313,None
2387,None
2407,None
2316,None
2394,None
2317,None
2318,None
702,None
701,None
2328,None
2604,None
2605,None
703,None
704,None
2601,None
2602,None
2649,None
2580,None
2581,None
2583,None
2584,None
2586,None
2588,None
2589,None
2663,None
2664,None
576,None
577,None
2591,None
716,None
717,None
2593,None
2331,None
2490,None
2327,None
708,None
711,None
709,None
2578,None
712,None
714,714
715,None
185,None
63,None
724,None
725,None
726,None
727,None
64,None
2558,None
65,None
186,None
92,None
187,None
136,None
2348,None
2341,None
2424,None
2343,None
2342,None
2486,None
2345,None
2488,None
2430,None
2347,None
2340,None
2439,None
2338,None
2446,None
2339,None
2463,None
746,None
747,None
758,None
757,None
762,None
763,None
285,None
345,None
184,None
113,None
180,None
68,None
282,None
800,None
801,None
816,None
817,None
818,None
819,None
804,None
805,None
820,None
821,None
281,None
258,None
2614,None
2615,None
809,None
810,None
75,None
182,None
179,None
76,None
2606,None
257,None
181,None
78,None
109,None
813,None
104,None
662,None
661,None
827,None
828,None
826,None
79,None
