station dans rayon,station atteintes
390,390
389,389
188,188
137,137
418,None
417,None
420,None
419,419
424,None
423,423
426,None
425,None
622,None
623,623
650,650
649,649
624,624
625,None
640,640
639,639
627,None
626,626
638,None
637,637
628,628
629,629
647,647
648,648
631,None
641,641
642,642
633,None
634,634
644,644
645,645
635,None
636,636
2633,2633
621,621
620,620
643,643
46,46
720,None
719,719
751,751
750,750
290,290
340,340
2554,2554
2557,2557
756,756
755,755
2555,2555
2556,2556
748,748
749,749
754,754
753,753
289,289
341,341
140,140
